film_ref	community_id
(filmRef)14302	1
(filmRef)14305	1
(filmRef)14318	1
(filmRef)14275	1
(filmRef)14996	1
(filmRef)14592	1
(filmRef)14607	1
(filmRef)20138	1
(filmRef)14938	1
(filmRef)14851	1
(filmRef)14850	1
(filmRef)14849	1
(filmRef)14841	1
(filmRef)14820	1
(filmRef)14818	1
(filmRef)14812	1
(filmRef)14810	1
(filmRef)14807	1
(filmRef)14806	1
(filmRef)14769	1
(filmRef)14767	1
(filmRef)14762	1
(filmRef)14753	1
(filmRef)14751	1
(filmRef)14608	1
(filmRef)14613	1
(filmRef)14614	1
(filmRef)14617	1
(filmRef)14618	1
(filmRef)14634	1
(filmRef)14602	1
(filmRef)14640	1
(filmRef)14703	1
(filmRef)14732	1
(filmRef)14740	1
(filmRef)14741	1
(filmRef)14743	1
(filmRef)14746	1
(filmRef)14641	1
(filmRef)16022	1
(filmRef)14939	1
(filmRef)16344	1
(filmRef)18372	1
(filmRef)18031	1
(filmRef)18030	1
(filmRef)18029	1
(filmRef)18028	1
(filmRef)18027	1
(filmRef)18026	1
(filmRef)18025	1
(filmRef)18024	1
(filmRef)18023	1
(filmRef)18022	1
(filmRef)17909	1
(filmRef)17908	1
(filmRef)17907	1
(filmRef)17906	1
(filmRef)17905	1
(filmRef)17904	1
(filmRef)17689	1
(filmRef)17690	1
(filmRef)17691	1
(filmRef)17692	1
(filmRef)17693	1
(filmRef)17694	1
(filmRef)18373	1
(filmRef)17695	1
(filmRef)17697	1
(filmRef)17699	1
(filmRef)17700	1
(filmRef)17701	1
(filmRef)17702	1
(filmRef)17703	1
(filmRef)17696	1
(filmRef)17688	1
(filmRef)18375	1
(filmRef)18377	1
(filmRef)16024	1
(filmRef)20067	1
(filmRef)20064	1
(filmRef)19992	1
(filmRef)19991	1
(filmRef)19985	1
(filmRef)19240	1
(filmRef)19239	1
(filmRef)19238	1
(filmRef)19227	1
(filmRef)19106	1
(filmRef)18995	1
(filmRef)18984	1
(filmRef)18727	1
(filmRef)18722	1
(filmRef)18720	1
(filmRef)18718	1
(filmRef)18378	1
(filmRef)18379	1
(filmRef)18380	1
(filmRef)18381	1
(filmRef)18382	1
(filmRef)18383	1
(filmRef)18376	1
(filmRef)18415	1
(filmRef)18712	1
(filmRef)18713	1
(filmRef)18714	1
(filmRef)18715	1
(filmRef)18716	1
(filmRef)18717	1
(filmRef)18416	1
(filmRef)17687	1
(filmRef)18374	1
(filmRef)17685	1
(filmRef)17038	1
(filmRef)17045	1
(filmRef)17047	1
(filmRef)17048	1
(filmRef)17050	1
(filmRef)17283	1
(filmRef)17036	1
(filmRef)17284	1
(filmRef)17286	1
(filmRef)17288	1
(filmRef)17289	1
(filmRef)17290	1
(filmRef)17291	1
(filmRef)17292	1
(filmRef)17285	1
(filmRef)17293	1
(filmRef)16987	1
(filmRef)16985	1
(filmRef)16346	1
(filmRef)17686	1
(filmRef)16347	1
(filmRef)16349	1
(filmRef)16352	1
(filmRef)16354	1
(filmRef)16986	1
(filmRef)16363	1
(filmRef)16864	1
(filmRef)16865	1
(filmRef)16868	1
(filmRef)16870	1
(filmRef)16982	1
(filmRef)16984	1
(filmRef)16364	1
(filmRef)17294	1
(filmRef)17042	1
(filmRef)17298	1
(filmRef)17335	1
(filmRef)17336	1
(filmRef)17337	1
(filmRef)17338	1
(filmRef)17339	1
(filmRef)17341	1
(filmRef)17334	1
(filmRef)17342	1
(filmRef)17347	1
(filmRef)17680	1
(filmRef)17681	1
(filmRef)17682	1
(filmRef)17683	1
(filmRef)17684	1
(filmRef)17343	1
(filmRef)17333	1
(filmRef)17340	1
(filmRef)17323	1
(filmRef)17301	1
(filmRef)17302	1
(filmRef)17303	1
(filmRef)17304	1
