film_ref	tfidf_cluster
(filmRef)10626	4
(filmRef)10627	4
(filmRef)10628	4
(filmRef)10629	8
(filmRef)1063	10
(filmRef)10630	8
(filmRef)10631	4
(filmRef)10632	4
(filmRef)10633	4
(filmRef)10634	4
(filmRef)10635	4
(filmRef)10636	4
(filmRef)10637	4
(filmRef)10638	4
(filmRef)10639	8
(filmRef)10640	8
(filmRef)10641	4
(filmRef)10642	4
(filmRef)10643	4
(filmRef)10644	4
(filmRef)10645	4
(filmRef)10646	4
(filmRef)10647	4
(filmRef)10648	4
(filmRef)10649	4
(filmRef)1065	14
(filmRef)10650	4
(filmRef)10651	4
(filmRef)10652	4
(filmRef)10653	4
(filmRef)10654	4
(filmRef)10655	4
(filmRef)10656	4
(filmRef)10657	4
(filmRef)10659	4
(filmRef)1066	3
(filmRef)10660	4
(filmRef)10661	4
(filmRef)10662	4
(filmRef)10663	4
(filmRef)10664	4
(filmRef)10665	4
(filmRef)10666	4
(filmRef)10667	4
(filmRef)10668	4
(filmRef)10669	4
(filmRef)1067	14
(filmRef)10670	4
(filmRef)10671	4
(filmRef)10672	4
(filmRef)10673	4
(filmRef)10674	4
(filmRef)10675	4
(filmRef)10676	4
(filmRef)10677	4
(filmRef)10678	4
(filmRef)10679	4
(filmRef)1068	6
(filmRef)10680	4
(filmRef)10681	4
(filmRef)10682	4
(filmRef)10683	4
(filmRef)10684	2
(filmRef)10685	4
(filmRef)10686	4
(filmRef)10687	4
(filmRef)10688	4
(filmRef)10689	4
(filmRef)1069	14
(filmRef)10690	4
(filmRef)10691	4
(filmRef)10692	4
(filmRef)10693	4
(filmRef)10694	4
(filmRef)10695	4
(filmRef)10696	4
(filmRef)10697	4
(filmRef)10698	4
(filmRef)10699	4
(filmRef)1070	14
(filmRef)10700	4
(filmRef)10701	4
(filmRef)10702	4
(filmRef)10703	4
(filmRef)10704	4
(filmRef)10705	4
(filmRef)10706	4
(filmRef)10707	4
(filmRef)10708	4
(filmRef)10709	4
(filmRef)1071	14
(filmRef)10710	4
(filmRef)10711	4
(filmRef)10712	4
(filmRef)10713	4
(filmRef)10714	4
(filmRef)10715	4
(filmRef)10716	4
(filmRef)10717	4
