film_ref	title	year	genre_tag	genre_tag_raw	desc_word_count	n_desc_fields	has_shotlist	has_reels	has_credit_line	credit_text	n_subjects	has_timecodes	timecode_count	n_creators
(filmRef)T1180	[RECTORAL ELECTIONS IN EDINBURGH AND INTERVIEWS WITH TWO CANDIDATES]	1972.0	non-fiction	non-fiction	87	4	True	False	True	Shotlisted at 24fps	0	True	2	0
(filmRef)T1181	[FIRE AT ALBERT BALLROOM, GLASGOW]	1974.0	non-fiction	non-fiction	53	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1182	[ROYAL HIGHLAND SHOW CLAN GATHERING]	1972.0	non-fiction	non-fiction	85	4	True	False	True	Shotlisted at 24 fps	0	True	5	0
(filmRef)T1183	[P.O. STRIKE. MARCH IN EDINBURGH. INTERVIEW WITH TOM JACKSON]	1971.0	non-fiction	non-fiction	70	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1184	[POST OFFICE STRIKE. EXPLAINING TO PENSIONERS WHERE TO COLLECT PENSIONS]	1971.0	non-fiction	non-fiction	55	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1185	[INTERVIEW WITH PUPIL UNION REPRESENTATIVE]	1972.0	non-fiction	non-fiction	35	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1186	[SCIENTIFIC INSTRUMENT EXHIBITION AT KELVINGROVE]	1973.0	non-fiction	non-fiction	113	4	True	False	False		0	True	6	0
(filmRef)T1187	[REPORT AND INTERVIEW ABOUT ROYAL MILE IN EDINBURGH]	1974.0	non-fiction	non-fiction	118	4	True	False	True	Shotlisted at 24fps	0	True	8	0
(filmRef)T1188	[ALEX CAMERON INTERVIEWS IAN MCMILLAN OF AIRDRIE FC]	1974.0	non-fiction	non-fiction	58	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1189	[REPORT ON EXHIBITION OF AGRICULTURE THROUGH THE AGES AND INTERVIEW WITH THE ORGANISER]	1971.0	non-fiction	non-fiction	60	4	True	False	True	Shotlisted at 24fps	0	True	4	0
(filmRef)T1190	['ROYAL SCOT' ELECTRIC TRAIN]	1974.0	non-fiction; television news	non-fiction; television news	103	4	True	False	False		1	True	8	0
(filmRef)T1191	[PRESENTATION OF SEAT TO WAR BLINDED IN EDINBURGH]	1974.0	non-fiction	non-fiction	82	4	True	False	True	Shotlisted at 24fps	0	True	5	0
(filmRef)T1192	[PENTLAND HILLS]	1970.0	non-fiction	non-fiction	45	4	True	False	True	Shotlisted at 24fps	0	True	5	0
(filmRef)T1193	[INTERVIEW WITH CONVENER OF SPORTS COUNCIL]	1972.0	non-fiction	non-fiction	55	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1194	[BRITISH STEEL CORPORATION WORKS]	1970.0	non-fiction	non-fiction	21	4	True	False	False		0	True	1	0
(filmRef)T1195	[INTERVIEW ABOUT THE POOL THEATRE EXTENDING ITS ACTIVITIES IN SCOTLAND]	1972.0	non-fiction	non-fiction	77	4	True	False	True	Shotlisted at24fps	0	True	1	0
(filmRef)T1196	[SAILING, LARGS ]	1973.0	non-fiction	non-fiction	55	4	True	False	True	Shotlisted at 24fps	0	True	6	0
(filmRef)T1197	[INTERVIEW WITH ORGANISER OF OLD FOLK'S WEEK, GLASGOW]	1971.0	non-fiction	non-fiction	42	4	True	False	False		0	True	1	0
(filmRef)T1198	[INTERVIEW WITH O.A.P TENANTS IN HIGH RISE BLOCK]	1973.0	non-fiction	non-fiction	92	4	True	False	True	Shotlisted at 24fps	0	True	5	0
(filmRef)T1199	[VANDALISM IN MILLPORT]	1974.0	non-fiction	non-fiction	96	4	True	False	False		0	True	11	0
(filmRef)T1200	[SPACE AGE SCULPTURE]	1973.0	non-fiction	non-fiction	80	4	True	False	True	Shotlisted at 24fps	0	True	4	0
(filmRef)T1201	[TILLICOULTRY 100TH ANNIVERSARY]	1971.0	non-fiction	non-fiction	61	4	True	False	False		0	True	3	0
(filmRef)T1202	[FLOODING IN GLASGOW; APPRENTICE WELDER CHOSEN FROM THE CLYDE TO REPRESENT BRITAIN IN WORLD CHAMPIONSHIPS & INTERVIEW WITH HEPPER; REPORT ON HIGH FLATS IN GLASGOW]	1970.0	non-fiction	non-fiction	104	4	True	False	False		0	True	8	0
(filmRef)T1203	"[""ASSIST"" OPENED IN GOVAN BY LORD PROVOST]"	1972.0	non-fiction	non-fiction	98	4	True	False	False		0	True	11	0
(filmRef)T1204	[GLASGOW STOCK EXCHANGE OPEN TO PUBLIC. NOW SCOTTISH EXCHANGE]	1971.0	non-fiction; television news	non-fiction; television news	82	4	True	False	False		0	True	4	0
(filmRef)T1205	[ROYAL HIGHLAND SHOW 1972]	1972.0	non-fiction	non-fiction	75	4	True	False	False		0	True	4	0
(filmRef)T1206	[FIREMANS UNION SPOKESMAN ABOUT THREATENED STRIKE]	1973.0	non-fiction	non-fiction	67	4	True	False	True	Shotlisted at 24fps	0	True	2	0
(filmRef)T1207	[EXPLOSION IN DEAN VILLAGE, EDINBURGH]	1971.0	non-fiction	non-fiction	60	4	True	False	True	Shotlisted at 24fps	0	True	6	0
(filmRef)T1208	[PRINCESS ANNE AND MARK PHILIPS AT ANWICK HORSE TRIALS, IRVINE]	1973.0	non-fiction	non-fiction	77	4	True	False	True	Shotlisted at 24fps	0	True	7	0
(filmRef)T1209	[HENDERSON STREET DEMONSTRATION AGAINST DEMOLITION ]	1974.0	non-fiction	non-fiction	91	4	True	False	True	Shotlisted at 24fps	0	True	9	0
(filmRef)T1210	[NEW CONCEPT IN PRIMARY EDUCATION]	1973.0	non-fiction	non-fiction	61	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1211	[DUKE OF EDINBURGH AT GESTETNER FACTORY, STIRLING]	1973.0	non-fiction	non-fiction	119	4	True	False	True	Shotlisted at 24fps	0	True	14	0
(filmRef)T1212	[INTERVIEW ABOUT ECLIPSE OF THE SUN]	1973.0	non-fiction	non-fiction	61	4	True	False	True	Shotlisted at 24fps	0	True	2	0
(filmRef)T1213	[PRESS CONFERENCE ON NEW STRATHCLYDE REGION]	1974.0	non-fiction	non-fiction	77	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1214	[STRATHCLYDE REGIONAL BUS EXHIBITION] (WILLIE ORMOND INTERVIEW TRIMS)	1974.0	non-fiction	non-fiction	104	4	True	False	True	Shotlisted at 24fps	0	True	4	0
(filmRef)T1215	[STUDENTS DEMONSTRATION]	1973.0	non-fiction; television news	non-fiction; television news	45	4	True	False	True	Shotlisted at 24fps	2	True	3	0
(filmRef)T1216	[JAPANESE DELEGATION AT EAST KILBRIDE. INTERVIEW ABOUT JAPANESE INTEREST IN SCOTLAND]	1972.0	non-fiction	non-fiction	94	4	True	False	True	Shotlisted at 24fps	0	True	4	0
(filmRef)T1217	[INTERVIEW ABOUT CHINESE IMPORTING SCOTTISH MINK]	1972.0	non-fiction	non-fiction	62	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1218	[CHRYSLER WINNING CAR, INTERNATIONAL POLICE RALLY]	1973.0	non-fiction	non-fiction	46	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1219	[JUNIOR CHAMBER]	1973.0	non-fiction	non-fiction	70	4	True	False	False		0	True	6	0
(filmRef)T1220	[FIREMENS DISPUTE LATEST]	1973.0	non-fiction	non-fiction	76	4	True	False	False		0	True	4	0
(filmRef)T1221	[Q.E.1. DOCUMENTARY]	1972.0	non-fiction	non-fiction	123	5	True	False	False		0	True	3	0
(filmRef)T1222	[TRAIN JOURNEY FROM GLASGOW]	1964.0	non-fiction; television documentary	non-fiction; television documentary	184	4	True	False	True	S11	1	True	11	0
(filmRef)T1223	[Q.E.2. BEING BUILT]	1965.0	non-fiction	non-fiction	21	4	True	False	False		0	True	1	0
(filmRef)T1224	[SHETLANDS]	1965.0	non-fiction; television educational	non-fiction; television educational	242	4	True	False	False		1	True	28	0
(filmRef)T1225	(LOBSTER FISHING AT EYEMOUTH)	1962.0	non-fiction; television educational	non-fiction; television educational	172	4	True	False	True	see also ref. T1617	3	True	13	0
(filmRef)T1226	[STIRLING UNIVERSITY (MATERIAL EXTRACTED FROM VARIOUS LIBRARY CANS)]	1973.0	non-fiction	non-fiction	75	4	True	False	False		0	True	6	0
(filmRef)T1227	[INTERVIEW CHAIRMAN OF S.S.H.A.]	1973.0	non-fiction	non-fiction	44	4	True	False	False		0	True	2	0
(filmRef)T1228	[CARNEGIE FESTIVAL]	1973.0	non-fiction	non-fiction	50	4	True	False	False		0	True	5	0
(filmRef)T1229	[INTERVIEW WITH UCS MANAGING DIRECTOR AND SHOP STEWARDS ON GOVERNMENT AID DECISION]	1971.0	non-fiction	non-fiction	68	4	True	False	False		0	True	3	0
(filmRef)T1230	[HONEYWELL STRIKERS & VOX POPS]	1972.0	non-fiction	non-fiction	142	4	True	False	False		0	True	6	0
(filmRef)T1231	[LIBRARY SHOTS OF COUNCIL HOUSES GLASGOW]	1973.0	non-fiction	non-fiction	27	4	True	False	False		0	True	1	0
(filmRef)T1232	[LAKER DC 10 AT GLASGOW AIRPORT]	1973.0	non-fiction	non-fiction	54	4	True	False	False		0	True	2	0
(filmRef)T1233	[STRATHEARN GLASS]	1975.0	non-fiction; television educational	non-fiction; television educational	66	4	True	False	False		3	True	6	0
(filmRef)T1234	[DRUG TESTING IN SCHOOLS. VOX POPS]	1973.0	non-fiction	non-fiction	54	4	True	False	True	Shotlisted at 24fps	0	True	2	0
(filmRef)T1235	[INT. MAN CLAIMING HE KNOWS THE REAL DATE OF SIR WALTER SCOTTS BIRTH, NOT THE ONE THAT IS RECORDED]	1970.0	non-fiction	non-fiction	43	4	True	False	True	p.c. STV	0	True	1	0
(filmRef)T1236	[MONKTONHALL COLLIERY-LIBRARY STOCK]	1970.0	non-fiction	non-fiction	13	4	True	False	False		0	True	1	0
(filmRef)T1237	[CHILDREN'S ART EXHIBITION]	1973.0	non-fiction	non-fiction	95	5	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1238	[BATTERED WIVES. EDINBURGH INTERVIEWS WITH NEIGHBOURS]	1974.0	non-fiction	non-fiction	112	4	True	False	True	Shotlisted at 24fps	0	True	6	0
(filmRef)T1239	VISUALS OF HELICOPTERS IN FLIGHT AND INTERVIEW]	1971.0	non-fiction	non-fiction	73	4	True	False	True	Shotlisted at 24fps	0	True	5	0
(filmRef)T1240	[ROBERT OWEN HANDICAPPED CENTRE]	1973.0	non-fiction	non-fiction	83	4	True	False	True	Mainly trims	0	True	8	0
(filmRef)T1241	[NEW TRICYCLE FOR HANDICAPPED CHILDREN]	1974.0	non-fiction	non-fiction	61	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1242	[INTERVIEW WITH DAN MCGARVEY ABOUT UCS TAKEOVER BY MARATHON AGREEMENT]	1972.0	non-fiction	non-fiction	40	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1243	[FAIR ISLE YACHT RACE. GRANTON]	1973.0	non-fiction	non-fiction	35	4	True	False	True	Shotlisted at 24 fps	0	True	3	0
(filmRef)T1244	[REFORMING OF ARGYLLS]	1972.0	non-fiction	non-fiction	65	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1245	[MP TED HEATH AT SCOTTISH POLICE COLLEGE, TULLIALLAN]	1973.0	non-fiction	non-fiction	54	4	True	False	False		0	True	5	0
(filmRef)T1246	[INTERVIEW WITH BAILIE MCCANN ABOUT SCHOOL MILK]	1971.0	non-fiction	non-fiction	31	4	True	False	False		0	True	1	0
(filmRef)T1247	[SEAFIELD COLLIERY DISASTER ENQUIRY]	1973.0	non-fiction	non-fiction	120	4	True	False	True	Shotlisted at 24fps	0	True	13	0
(filmRef)T1248	[NEW NATURE TRAIL OPENED FOR SCHOOLCHILDREN AT LOCH LEVEN]	1971.0	non-fiction; nature	non-fiction; nature	53	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1249	[INTERVIEW ABOUT EDINBURGH STUDENT LITERACY]	1973.0	non-fiction	non-fiction	64	4	True	False	False		0	True	3	0
(filmRef)T1250	[INTERVIEW WITH MINISTER OF TRANSPORT]	1972.0	non-fiction	non-fiction	57	4	True	False	False		0	True	1	0
(filmRef)T1251	[INTERVIEW WITH WILLIE WADDELL ABOUT BARCELONA MATCH]	1972.0	non-fiction	non-fiction	51	3	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1252	[INTERVIEW RE NEW EXECUTIVE LEVEL EMPLOYMENT EXCHANGES BEING SET UP]	1972.0	non-fiction	non-fiction	95	4	True	False	False		0	True	1	0
(filmRef)T1253	[LATE NIGHT COFFEE BAR IN EDINBURGH CHURCH]	1971.0	non-fiction	non-fiction	81	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1254	[REPORT ON CLOSURE OF EDINBURGH BREWERY]	1971.0	non-fiction; television news	non-fiction; television news	98	4	True	False	False		1	True	5	0
(filmRef)T1255	[GLASGOW CITY POLICE TATTOO]	1973.0	non-fiction	non-fiction	73	4	True	False	True	Shotlisted at 24fps	0	True	7	0
(filmRef)T1256	[INDOOR BOWLING]	1972.0	non-fiction	non-fiction	63	4	True	False	True	Shotlisted at 24fps	0	True	4	0
(filmRef)T1257	[CRAIGMILLAR PROTEST ABOUT HOUSING CONDITIONS]	1972.0	non-fiction	non-fiction	89	4	True	False	True	Shotlisted at 24fps	0	True	6	0
(filmRef)T1258	[INTERVIEW ROBIN MACLELLAN, DEPUTY CHAIRMAN BRITISH AIRPORTS AUTHORITY]	1972.0	non-fiction	non-fiction	57	4	True	False	False		0	True	2	0
(filmRef)T1259	[MOTHERS PROTEST OVER SCHOOL]	1973.0	non-fiction	non-fiction	72	4	True	False	True	Shotlisted at 24fps	0	True	3	0
(filmRef)T1260	[BUILDING WORKERS MARCHES]	1972.0	non-fiction	non-fiction	48	4	True	False	False		0	True	3	0
