film_ref	has_source_tag	source_name	desc_word_count	has_shotlist	is_broadcaster_summary
(filmRef)0762B	False		110	True	False
(filmRef)0763	False		217	True	False
(filmRef)0764	False		147	True	False
(filmRef)0765	False		147	True	False
(filmRef)0766	False		329	True	False
(filmRef)0767	False		284	True	False
(filmRef)0768	False		69	True	False
(filmRef)0769	False		222	True	False
(filmRef)0770	False		114	True	False
(filmRef)0771	False		193	True	False
(filmRef)0772	False		192	True	False
(filmRef)0773	False		423	True	False
(filmRef)0774	False		824	True	False
(filmRef)0775	False		238	True	False
(filmRef)0776	False		111	True	False
(filmRef)0777	False		301	True	False
(filmRef)0778	False		275	True	False
(filmRef)0779	False		136	True	False
(filmRef)0780	False		187	True	False
(filmRef)0781	False		15	False	False
(filmRef)0782	False		65	True	False
(filmRef)0783	False		89	True	False
(filmRef)0784	False		128	True	False
(filmRef)0785	False		458	True	False
(filmRef)0786	False		120	True	False
(filmRef)0787	False		100	True	False
(filmRef)0788	False		67	True	False
(filmRef)0789	False		106	True	False
(filmRef)0790	False		72	True	False
(filmRef)0791	False		656	True	False
(filmRef)0793	False		718	True	False
(filmRef)0794	False		150	True	False
(filmRef)0795	False		217	True	False
(filmRef)0796	False		1184	True	False
(filmRef)0797	False		465	True	False
(filmRef)0798	False		185	True	False
(filmRef)0799	False		395	True	False
(filmRef)0800	False		742	True	False
(filmRef)0801	False		442	True	False
(filmRef)0802	False		492	True	False
(filmRef)0803	False		389	True	False
(filmRef)0804	False		482	True	False
(filmRef)0805	False		399	True	False
(filmRef)0806	False		339	True	False
(filmRef)0807	False		168	True	False
(filmRef)0808	False		216	True	False
(filmRef)0809	False		272	True	False
(filmRef)0810A	False		156	True	False
(filmRef)0810B	False		138	True	False
(filmRef)0811	False		155	True	False
(filmRef)0812	False		182	True	False
(filmRef)0813	False		334	True	False
(filmRef)0814	False		135	True	False
(filmRef)0815	False		183	True	False
(filmRef)0816	False		79	True	False
(filmRef)0817	False		71	True	False
(filmRef)0818	False		364	True	False
(filmRef)0819	False		408	True	False
(filmRef)0820	False		138	True	False
(filmRef)0821	False		123	True	False
(filmRef)0822	False		78	True	False
(filmRef)0823	False		241	True	False
(filmRef)0824	False		151	True	False
(filmRef)0825	False		251	True	False
(filmRef)0826	False		284	True	False
(filmRef)0827	False		246	True	False
(filmRef)0828	False		139	True	False
(filmRef)0829	False		316	True	False
(filmRef)0830	False		167	True	False
(filmRef)0831	False		92	True	False
(filmRef)0832	False		82	True	False
(filmRef)0833	False		248	True	False
(filmRef)0834	False		67	True	False
(filmRef)0835	False		721	True	False
(filmRef)0836	False		465	True	False
(filmRef)0837	False		622	True	False
(filmRef)0838	False		89	True	False
(filmRef)0839	False		41	True	False
(filmRef)0840A	False		244	True	False
(filmRef)0840B	False		55	True	False
(filmRef)0841	False		144	True	False
(filmRef)0842	False		104	True	False
(filmRef)0843	False		68	True	False
(filmRef)0844	False		126	True	False
(filmRef)0845	False		63	True	False
(filmRef)0846	False		37	True	False
(filmRef)0847	False		48	True	False
(filmRef)0848	False		136	True	False
(filmRef)0849	False		243	True	False
(filmRef)0850	False		118	True	False
(filmRef)0851	False		149	True	False
(filmRef)0852	False		37	True	False
(filmRef)0853	False		80	True	False
(filmRef)0854	False		113	True	False
(filmRef)0855	False		96	True	False
(filmRef)0856	False		175	True	False
(filmRef)0857	False		608	True	False
(filmRef)0858	False		731	True	False
(filmRef)0859	False		385	True	False
(filmRef)0860	False		604	True	False
(filmRef)0861	False		100	True	False
(filmRef)0862	False		156	True	False
(filmRef)0863A	False		118	True	False
(filmRef)0863B	False		93	True	False
(filmRef)0863C	False		169	True	False
(filmRef)0864	False		166	True	False
(filmRef)0865	False		255	True	False
(filmRef)0866	False		81	True	False
(filmRef)0867	False		67	True	False
(filmRef)0868	False		44	True	False
